danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,genre,sub-genre,0
0.6,0.96,7.0,-2.396,0.0,0.0597,0.000707,0.0475,0.381,0.153,128.068,audio_features,7gLKUPLGMzPhw90Ara5ZEc,spotify:track:7gLKUPLGMzPhw90Ara5ZEc,https://api.spotify.com/v1/tracks/7gLKUPLGMzPhw90Ara5ZEc,https://api.spotify.com/v1/audio-analysis/7gLKUPLGMzPhw90Ara5ZEc,178125.0,4.0,66,edm ,edm,
0.612,0.825,3.0,-5.727,1.0,0.044,0.0754,0.0,0.163,0.574,131.994,audio_features,2IZa3hPjcc8fFzWNsHvzoM,spotify:track:2IZa3hPjcc8fFzWNsHvzoM,https://api.spotify.com/v1/tracks/2IZa3hPjcc8fFzWNsHvzoM,https://api.spotify.com/v1/audio-analysis/2IZa3hPjcc8fFzWNsHvzoM,147750.0,4.0,65,edm ,edm,
0.696,0.685,8.0,-6.64,0.0,0.0376,0.0156,0.406,0.205,0.206,124.985,audio_features,3hQpBuFdNnFM38NjTeg0XQ,spotify:track:3hQpBuFdNnFM38NjTeg0XQ,https://api.spotify.com/v1/tracks/3hQpBuFdNnFM38NjTeg0XQ,https://api.spotify.com/v1/audio-analysis/3hQpBuFdNnFM38NjTeg0XQ,196440.0,4.0,65,edm ,edm,
0.608,0.845,6.0,-2.292,1.0,0.0597,0.136,0.0,0.111,0.322,98.976,audio_features,2zh01m4PiHaZz4BAm0NRxs,spotify:track:2zh01m4PiHaZz4BAm0NRxs,https://api.spotify.com/v1/tracks/2zh01m4PiHaZz4BAm0NRxs,https://api.spotify.com/v1/audio-analysis/2zh01m4PiHaZz4BAm0NRxs,218240.0,4.0,64,edm ,edm,
0.673,0.991,2.0,-2.647,1.0,0.0646,0.104,0.807,0.0874,0.422,150.017,audio_features,5XlfRHrrl5kxkm22pxeLjH,spotify:track:5XlfRHrrl5kxkm22pxeLjH,https://api.spotify.com/v1/tracks/5XlfRHrrl5kxkm22pxeLjH,https://api.spotify.com/v1/audio-analysis/5XlfRHrrl5kxkm22pxeLjH,148412.0,4.0,64,edm ,edm,
0.887,0.863,2.0,-4.2,1.0,0.0697,0.0176,0.0594,0.288,0.517,120.028,audio_features,1afXT2ntjBUlydAFZ3db66,spotify:track:1afXT2ntjBUlydAFZ3db66,https://api.spotify.com/v1/tracks/1afXT2ntjBUlydAFZ3db66,https://api.spotify.com/v1/audio-analysis/1afXT2ntjBUlydAFZ3db66,139436.0,4.0,63,edm ,edm,
0.363,0.486,4.0,-10.905,1.0,0.0624,0.827,0.0445,0.11,0.0923,111.078,audio_features,4X66U6SUjvZqiKYIpCWXnq,spotify:track:4X66U6SUjvZqiKYIpCWXnq,https://api.spotify.com/v1/tracks/4X66U6SUjvZqiKYIpCWXnq,https://api.spotify.com/v1/audio-analysis/4X66U6SUjvZqiKYIpCWXnq,487359.0,4.0,63,edm ,edm,
0.746,0.896,6.0,-4.015,0.0,0.227,0.246,9.78e-06,0.124,0.133,125.939,audio_features,7brRnnzMQtAPybNOwbmRms,spotify:track:7brRnnzMQtAPybNOwbmRms,https://api.spotify.com/v1/tracks/7brRnnzMQtAPybNOwbmRms,https://api.spotify.com/v1/audio-analysis/7brRnnzMQtAPybNOwbmRms,205714.0,4.0,63,edm ,edm,
0.73,0.941,1.0,-6.211,1.0,0.14,0.024,0.527,0.123,0.0741,128.171,audio_features,4fr0TUNlNMjORHGnZX9DQs,spotify:track:4fr0TUNlNMjORHGnZX9DQs,https://api.spotify.com/v1/tracks/4fr0TUNlNMjORHGnZX9DQs,https://api.spotify.com/v1/audio-analysis/4fr0TUNlNMjORHGnZX9DQs,120000.0,4.0,62,edm ,edm,
0.36,0.845,0.0,-4.742,1.0,0.0344,0.0316,3.41e-05,0.063,0.231,130.066,audio_features,71WFZwTIUZoYpzjO56g3KH,spotify:track:71WFZwTIUZoYpzjO56g3KH,https://api.spotify.com/v1/tracks/71WFZwTIUZoYpzjO56g3KH,https://api.spotify.com/v1/audio-analysis/71WFZwTIUZoYpzjO56g3KH,225231.0,4.0,62,edm ,edm,
0.651,0.783,0.0,-6.162,1.0,0.0501,0.045,0.0,0.0628,0.311,119.995,audio_features,2ayyzfxamdoNRDI0au3wva,spotify:track:2ayyzfxamdoNRDI0au3wva,https://api.spotify.com/v1/tracks/2ayyzfxamdoNRDI0au3wva,https://api.spotify.com/v1/audio-analysis/2ayyzfxamdoNRDI0au3wva,136000.0,4.0,62,edm ,edm,
0.717,0.903,7.0,-6.042,0.0,0.141,0.179,0.00532,0.192,0.344,122.986,audio_features,76XAEIVTSmXwrq41rt2n5G,spotify:track:76XAEIVTSmXwrq41rt2n5G,https://api.spotify.com/v1/tracks/76XAEIVTSmXwrq41rt2n5G,https://api.spotify.com/v1/audio-analysis/76XAEIVTSmXwrq41rt2n5G,173694.0,4.0,62,edm ,edm,
0.569,0.85,4.0,-3.914,1.0,0.0369,0.0148,0.0,0.245,0.551,122.042,audio_features,2gZwBmkSmsVfEPFWGuWTDk,spotify:track:2gZwBmkSmsVfEPFWGuWTDk,https://api.spotify.com/v1/tracks/2gZwBmkSmsVfEPFWGuWTDk,https://api.spotify.com/v1/audio-analysis/2gZwBmkSmsVfEPFWGuWTDk,215201.0,4.0,63,edm ,edm,
0.483,0.917,3.0,-2.528,1.0,0.0438,0.00235,0.000347,0.119,0.323,129.035,audio_features,7mXNYEVh9FW72c12qBaO3p,spotify:track:7mXNYEVh9FW72c12qBaO3p,https://api.spotify.com/v1/tracks/7mXNYEVh9FW72c12qBaO3p,https://api.spotify.com/v1/audio-analysis/7mXNYEVh9FW72c12qBaO3p,145174.0,4.0,62,edm ,edm,
